train_mean_absolute_error,test_mean_absolute_error,train_mean_squared_error,test_mean_squared_error,train_root_mean_squared_error,test_root_mean_squared_error,train_r_squared,test_r_squared,train_adjusted_r_squared,test_adjusted_r_squared,train_mean_log_loss,test_mean_log_loss,train_mean_roc_auc_score,test_mean_roc_auc_score
0.4252659115698582,0.4355518951097971,0.33758732396502106,0.356637361756108,0.5810226535730092,0.5971912271258747,0.6623994978076173,0.6355137381752228,296.700528753617,36.43616434407556,,,,
0.4232031242568615,0.43695027339364934,0.3369506552409378,0.3549436660245598,0.580474508691758,0.5957714880930102,0.6630486316860926,0.6443453424923307,296.1319596020591,35.577536146578964,,,,
0.4206011986667748,0.42059864889499887,0.337585841397279,0.3178600133368117,0.5810213777455,0.563790753149439,0.6624135116139139,0.6859755966692971,296.6882542163907,31.53015032381834,,,,
0.42378361377588675,0.4333453079165148,0.3399897038580406,0.35353602443619475,0.583086360548796,0.5945889541827991,0.6600017770907777,0.6567713667082211,298.8006656881555,34.36945045892295,,,,
0.42292702343239086,0.41314534374028616,0.33775756918619576,0.31264069088294716,0.5811691399121222,0.5591428179659891,0.6622329823675923,0.6848073715762231,296.84637777736333,31.64372776342276,,,,
0.41914600354694437,0.42915887408109127,0.33794711709115044,0.33706515561195655,0.581332191686604,0.5805731268427402,0.6620406818039539,0.6587325487115079,297.01481170438126,34.17877998638118,,,,
0.4225345481748579,0.43696683753238696,0.33515566032065885,0.3714948865199948,0.5789262995586388,0.6095038035320164,0.6648416329697384,0.624320803712255,294.56148969995024,37.52436630575299,,,,
0.4244321984933477,0.42470790964960253,0.34182059766188444,0.3403098351517925,0.5846542548052519,0.5833608104353535,0.658163260556988,0.6648310810614556,300.41100189214035,33.58586711902515,,,,
0.41975656065387085,0.43494337118143944,0.3336214380552644,0.3861526832875719,0.5775997213081603,0.6214118467550903,0.6663584834273395,0.602978347924654,293.2328972380314,39.59932728510309,,,,
0.42361403052005336,0.4282002153030503,0.3394328264684866,0.34355291229791335,0.5826086391982929,0.5861338689223763,0.6605604626694892,0.6611304828765596,298.31131919737965,33.94564749811226,,,,
