train_mean_absolute_error,test_mean_absolute_error,train_mean_squared_error,test_mean_squared_error,train_root_mean_squared_error,test_root_mean_squared_error,train_r_squared,test_r_squared,train_adjusted_r_squared,test_adjusted_r_squared,train_mean_log_loss,test_mean_log_loss,train_mean_roc_auc_score,test_mean_roc_auc_score
0.11332325515231903,0.2970310074926258,0.023805707726144508,0.15928449826501706,0.1542909839431472,0.3991046207011603,0.9761308633977183,0.8376758632580381,16.165255940259705,18.100847805765685,,,,
0.1131853718862225,0.30080983316103915,0.023662620254965246,0.16453570542704118,0.15382659150798747,0.40563001051086095,0.9763057590207094,0.8346360519597351,16.0541360061923,18.421091926041903,,,,
0.11365593720453544,0.30415420442185237,0.02400634722625377,0.167942946157143,0.1549398180786778,0.4098084261665968,0.9760032184046511,0.8339948565469215,16.246355186604927,18.48864186278182,,,,
0.11399351545518613,0.29762360827782774,0.024196441622494454,0.15967367220220932,0.15555205438210853,0.39959188205243773,0.9758364798795839,0.8430656537760255,16.35229250850638,17.533033374695712,,,,
0.113328683894334,0.30216788463868527,0.024029462275155854,0.16356583323914023,0.15501439376766227,0.40443273017788783,0.9760327244235181,0.8351477933644706,16.227608537517796,18.358937358721242,,,,
0.1140464834323616,0.3103944688033418,0.02412565194116776,0.17291121795771403,0.15532434432878756,0.4158259467105366,0.9759624309904052,0.8221315194901893,16.272269470246023,19.72955099768307,,,,
0.11446796829642157,0.31123623572253745,0.02445835501901815,0.17817497488478815,0.15639167183395078,0.42210777638511726,0.9755569739351417,0.8274346164610119,16.5298766103077,19.171134886655445,,,,
0.11399787505486024,0.30280209775349576,0.023869383148226623,0.17342117142927474,0.15449719462898548,0.41643867667313844,0.9761475867673912,0.8317002310255606,16.15463074733799,18.721965673008473,,,,
0.11412982177473034,0.307547126778039,0.024179837530972727,0.17809971586822826,0.15549867372737533,0.42201862028615306,0.9759061947735406,0.8172904167280429,16.307999150630998,20.23931911853708,,,,
0.1128835436324509,0.3099580359537856,0.023744330562568108,0.1733751458068478,0.15409195489242164,0.416383412021718,0.9763166331022421,0.8250695048981105,16.04722715849045,19.420181134228965,,,,
