train_mean_absolute_error,test_mean_absolute_error,train_mean_squared_error,test_mean_squared_error,train_root_mean_squared_error,test_root_mean_squared_error,train_r_squared,test_r_squared,train_adjusted_r_squared,test_adjusted_r_squared,train_mean_log_loss,test_mean_log_loss,train_mean_roc_auc_score,test_mean_roc_auc_score,train_mean_f1_score,test_mean_f1_score
0.02594464161487002,0.1352858804215256,0.0010332645480907717,0.03816113339564888,0.03214443261422997,0.19534874812920835,0.9989702498166507,0.9621492589220277,1.0873621883491467,1.5321368892726688,17.240393882349128,17.648340289562512,1.0,0.9876612471841412,0.9999873532982598,0.9136407850791503
0.025780280707487002,0.13273541842476488,0.0010267487049483953,0.03671717793032378,0.032042919731953196,0.19161726939481155,0.9989756571120421,0.9632335386123531,1.0869034429504318,1.51689319244986,17.222810233187943,17.45435290907908,1.0,0.9880017827342207,1.0,0.9133938526165939
0.025757913752166378,0.1348712752401254,0.0010106250754575764,0.03526483032042095,0.03179032990482446,0.1877893242983236,0.9989920738869416,0.964809240804899,1.0855106727387378,1.4947406733899486,17.195125338763944,17.181417176073317,1.0,0.9881330025588104,0.9999968115498419,0.9072615325602841
0.025951411338648183,0.12753947284315567,0.0010269170829627643,0.030753670632031754,0.03204554700676467,0.17536724503746917,0.9989732755174676,0.9686830739117973,1.0871054932313133,1.440279137357673,17.185772333890974,17.10923582519576,1.0,0.9904862768772534,0.9999697293513257,0.9208115955912082
0.02595313956325824,0.13917386443291535,0.0010401501294454794,0.04446258006733717,0.032251358567438354,0.21086151869731273,0.99896067186711,0.9540373402055908,1.0881747646859163,1.6461809229919877,17.21327016821751,16.553213856717086,1.0,0.9868372630820086,0.9999901013620526,0.9152919312536593
0.025767560686828422,0.13547530210240336,0.0010108366489829802,0.03928333237184954,0.031793657370346375,0.19820023302672865,0.9989881451736177,0.9608019532970936,1.0858439778441127,1.5510784212938016,17.15602977839492,17.669769128104285,1.0,0.9850900199090242,0.9999759804736388,0.9080373039452597
0.025888779937781634,0.1320827204494253,0.001022183017354198,0.03589512236727624,0.031971597041033126,0.18946008119727026,0.9989785573157223,0.9629926424511811,1.086657394788209,1.5202799090686892,17.172865187166273,17.375404556556752,1.0,0.987273107067951,0.9999901450646485,0.910901355663613
0.025762981953119584,0.14048529132450363,0.0010213938022033036,0.05075770180771676,0.03195925221595936,0.22529469991039905,0.998977483191263,0.9496639313271021,1.0867485216118196,1.7076659066366229,17.18652057428081,17.05961114646744,0.9999999959662554,0.9816906567163355,0.9999683288619057,0.9029864267385204
0.025925210231173106,0.12824191908546023,0.0010210594821275332,0.031701340041207435,0.031954021376464234,0.17804870131850845,0.9989770601279003,0.9690125835250031,1.0867994567943398,1.4351909225532655,17.184851684445793,17.089875074848422,1.0,0.9880657799348744,1.0,0.9173436695771011
0.026438216594004502,0.1332785980167364,0.0010947077777177662,0.03953655979193744,0.03308636845768611,0.1988380240093364,0.9989027426758479,0.9616493612054147,1.0931055111817307,1.5386008830710147,17.16427863924435,17.507610014248165,1.0,0.9875845892064795,0.9999798366445292,0.9043401275386951
