train_mean_absolute_error,test_mean_absolute_error,train_mean_squared_error,test_mean_squared_error,train_root_mean_squared_error,test_root_mean_squared_error,train_r_squared,test_r_squared,train_adjusted_r_squared,test_adjusted_r_squared,train_mean_log_loss,test_mean_log_loss,train_mean_roc_auc_score,test_mean_roc_auc_score
0.040576124995297794,0.21071523161033837,0.007662961076442006,0.10855388530219351,0.08753834060822724,0.32947516644231856,0.9923426511808306,0.8903819615692236,6.015084892254727,12.900408297141167,,,,
0.040617532564686615,0.221470963898041,0.00767748498963768,0.12844203145017655,0.08762125877683839,0.3583881017140169,0.9923379321369379,0.8720264728640891,6.018175571064245,14.89312603969233,,,,
0.04055060983861812,0.2005428785979,0.0076519130375148035,0.0896740529113547,0.0874752138466366,0.2994562621007527,0.9923399394552561,0.9077695489681646,6.016860903023199,11.012768340143626,,,,
0.041264331034659124,0.20353471407060436,0.008005094204497524,0.10711907079321932,0.08947119203686471,0.32729049908791935,0.9920131756510048,0.8950395412067943,6.23087077207006,12.394769807737394,,,,
0.041532674579354036,0.21419842063306552,0.007721764949722687,0.11713869960211808,0.08787357367105703,0.34225531347536164,0.9922973923235237,0.8848024340990419,6.044726615112228,13.506135748122762,,,,
0.037679899170542736,0.21012213249223405,0.006682131595712367,0.11071106988643252,0.08174430619751058,0.3327327304105091,0.9933507909623103,0.8854922381934536,5.354816344121917,13.431248891123197,,,,
0.04169158810823147,0.20357796924133878,0.00793934130432063,0.10022530450480485,0.08910298145584485,0.3165838032888051,0.992096925115897,0.8970982881486723,6.176020106907224,12.171267092859761,,,,
0.04010719340192201,0.21091241679142242,0.007437513743866082,0.10481237509017957,0.08624102123621961,0.3237473939511785,0.9925756475475996,0.8984242614424615,5.8624868342939624,12.027316117152777,,,,
0.04303550864030987,0.21433384495261873,0.008579750017997214,0.11415959766064725,0.09262694002285303,0.3378751213993822,0.9914428190839997,0.8868476504550021,6.6044186761729655,13.284101947478831,,,,
0.03659411953139661,0.20824264583221117,0.0063730044126610345,0.10672769795623242,0.07983109928255426,0.3266920537084311,0.9936455434529922,0.8942103920923744,5.162169038290132,12.478172457977378,,,,
