train_mean_absolute_error,test_mean_absolute_error,train_mean_squared_error,test_mean_squared_error,train_root_mean_squared_error,test_root_mean_squared_error,train_r_squared,test_r_squared,train_adjusted_r_squared,test_adjusted_r_squared,train_mean_log_loss,test_mean_log_loss,train_mean_roc_auc_score,test_mean_roc_auc_score
0.00032237706901014855,0.01610603828781344,2.2144366874645892e-07,0.001307908454708378,0.0004705780155792012,0.03616501700135613,0.9999997791404952,0.9987297358110162,1.0000044923047497,1.0042836489486373,17.24398041973595,17.006320160094404,1.0,0.9999562851272461
0.00048429419510563875,0.017504774096008025,5.291545037525519e-07,0.0014513788733844521,0.0007274300679464328,0.03809696672157053,0.9999994715912544,0.9985747260441195,1.000010747887532,1.004806380700626,17.2667845735901,17.26722302842356,1.0,0.9999744599806157
0.0004947043300731989,0.01711592364346038,5.496937929233291e-07,0.0016186048298460634,0.0007414133751985656,0.04023188822123644,0.999999447648439,0.9983049853227752,1.000011234886828,1.0057160139622825,17.2578065602617,17.120532826520652,1.0,0.9999539335456673
0.0004571300818043581,0.014995434744058676,4.4660416545281117e-07,0.0012834151401957157,0.0006682844943980155,0.035824783882051764,0.9999995527558672,0.9987100337891072,1.0000090969910675,1.0043500891003543,17.297309818906683,17.648834070274305,1.0,0.9999711175385351
0.0004526990685410085,0.01787714201039218,4.58605268554346e-07,0.00189718241388165,0.0006772040080761085,0.04355665751503035,0.9999995409060327,0.9980787744427052,1.0000093380179031,1.0064788536982885,17.337261978218088,16.967347117522415,1.0,0.9998877050047776
0.00044708051611961285,0.015594095200411232,4.259297072853232e-07,0.0012949008008919577,0.0006526329039248046,0.03598473010725463,0.9999995728236285,0.9987380478009681,1.0000086888107644,1.0042556188370062,17.309071016366893,17.412289353552637,1.0,0.9999488433816015
0.00046562156988221633,0.016782572588184552,4.894604340009814e-07,0.0015350400078106218,0.0006996144895590581,0.039179586621232006,0.9999995091038574,0.9985023098176502,1.0000099848773782,1.0050505863509698,17.34300790674827,16.913759183985924,1.0,0.999977303202247
0.00043931912625808913,0.014777902998058704,4.2120389249005697e-07,0.000993066180747346,0.0006490022284168653,0.0315129525869498,0.999999578883207,0.9989673938984392,1.000008566270872,1.003480459144347,17.325765431652304,17.293217007060456,1.0,0.999973977599417
0.00046695995407385814,0.015088648296818866,4.860710676979527e-07,0.0013046057480886248,0.0006971879715671755,0.036119326517650145,0.9999995129651783,0.9987049729789341,1.0000099071618045,1.0043649641725265,17.30619499048202,17.473557770662836,1.0,0.9999533417843254
0.00047254390050237044,0.015751531655243355,4.963781798964167e-07,0.0016036239320126873,0.0007045411129922915,0.040045273529003236,0.9999995030278562,0.998381635444328,1.0000101093047586,1.0054547922079502,17.32100748035861,17.572122392211284,1.0,0.9999688742619282
