train_mean_absolute_error,test_mean_absolute_error,train_mean_squared_error,test_mean_squared_error,train_root_mean_squared_error,test_root_mean_squared_error,train_r_squared,test_r_squared,train_adjusted_r_squared,test_adjusted_r_squared,train_mean_log_loss,test_mean_log_loss,train_mean_roc_auc_score,test_mean_roc_auc_score
0.3599427239528892,0.3737180892330435,0.22310791229653165,0.23695786632756147,0.472343002802552,0.4867831820508608,0.7768834516286596,0.7636189717322239,70.24726328543238,9.144400883044284,,,,
0.36070540888915364,0.36567191012621875,0.2241073430801348,0.22698044962442226,0.4733997708915107,0.47642465262035116,0.7759121314700264,0.7754343165126888,70.5487257419391,8.73730854924463,,,,
0.3604664334934206,0.3645771570104084,0.22315132447345742,0.22936151857574844,0.4723889546480288,0.47891702681753595,0.7768508525802637,0.7607666641889379,70.25738084463454,9.242675842944776,,,,
0.36126509228562015,0.3667298128424243,0.2244803981481517,0.229144462480074,0.47379362400538033,0.4786903617998528,0.7755279628266231,0.7744592340654423,70.66795771908262,8.770904571745216,,,,
0.3629393571795402,0.35789688852200263,0.22642400935308932,0.21981282087482937,0.47584031917555003,0.46884199990490333,0.7735897230831301,0.7972757578290847,71.26951685401762,7.984771616616083,,,,
0.3590166751998639,0.3782823037833992,0.22053261409878822,0.25374909187139777,0.46960900129659805,0.5037351405961249,0.7794794630429653,0.7400711201731894,69.44155574284694,9.955731404941927,,,,
0.3626464111972743,0.35631251568658767,0.22694276794312487,0.2100697404416543,0.4763851046612655,0.4583336562392667,0.7730635482872947,0.7939073285026252,71.43282237701598,8.100829317955004,,,,
0.3628658993470537,0.3439008265957839,0.22501292959567157,0.2149081600980186,0.4743552778199812,0.46358188068346523,0.7749915502249978,0.7856156037561034,70.83444068471432,8.386516925130618,,,,
0.35991062195085066,0.3621540335852242,0.22257085440158508,0.2243455278107459,0.47177415613997453,0.47365127236263804,0.7774215209353349,0.7630230317313926,70.09038334239082,9.154162044515262,,,,
0.36192402467145623,0.3531545011327705,0.2256651055237579,0.21199921335963995,0.47504221446494405,0.4604337230912175,0.7743341251873824,0.7820745415045187,71.04873904978935,8.498616912776333,,,,
