train_mean_absolute_error,test_mean_absolute_error,train_mean_squared_error,test_mean_squared_error,train_root_mean_squared_error,test_root_mean_squared_error,train_r_squared,test_r_squared,train_adjusted_r_squared,test_adjusted_r_squared,train_mean_log_loss,test_mean_log_loss,train_mean_roc_auc_score,test_mean_roc_auc_score
0.2559823193826796,0.49277147350720724,0.1067980384889058,0.3574512613060529,0.3267996916903469,0.5978722784224512,0.8956913865776455,0.6777545309926225,2.1229999912809943,1.5743245858921808,,,,
0.24777200028149698,0.5042163769518018,0.09949559887897091,0.3979449772851643,0.3154292295887794,0.6308288018830183,0.9012183190580992,0.5767206582585122,2.063496323043851,1.7543930203618454,,,,
0.2528731387775898,0.45649306112657656,0.10525086697181069,0.3368167568551366,0.32442390012422123,0.5803591619464077,0.8956614728132517,0.6493546669846011,2.123322046728298,1.6249404725516383,,,,
0.25206992202714823,0.49652288150045043,0.10389937875792452,0.3956442593141403,0.32233426556592537,0.62900259086441,0.8960478332132445,0.566590392216762,2.1191624408090206,1.7724477687104483,,,,
0.23663267129779192,0.5166975000423423,0.09110491596323178,0.4316346589965155,0.3018359090022786,0.6569890859036515,0.9082571993232635,0.5876877229327548,1.9877148298664773,1.7348468809021063,,,,
0.24639886193121258,0.45536361162262445,0.09856539342852384,0.3226051385603651,0.3139512596383774,0.5679833963773634,0.9012467757949807,0.6614613737191604,2.0631899541427483,1.600633046627296,,,,
0.23890439615913173,0.48531246565429864,0.09086114944604218,0.3798666807400015,0.3014318321711265,0.6163332546114979,0.9092538077639892,0.5739723815215321,1.976985214798987,1.7558554521392171,,,,
0.24433215563622754,0.5212709411733033,0.09704277675561457,0.41244034282516767,0.31151689642074726,0.642215184206328,0.9023252035886594,0.6039408225976218,2.05157946136403,1.7026856373268,,,,
0.24031737895550898,0.5484873686999999,0.09364129882988338,0.44665607612267433,0.30600865809627575,0.6683233320202687,0.9055365685974444,0.591002974275912,2.0170054913097726,1.7256398843491885,,,,
0.01331843380591318,0.467634070061991,0.00034423550762634496,0.3552902621778946,0.01855358476484652,0.5960622972289847,0.9996536131836048,0.6588357109211109,1.0037292451603839,1.6052914806238354,,,,
