train_mean_absolute_error,test_mean_absolute_error,train_mean_squared_error,test_mean_squared_error,train_root_mean_squared_error,test_root_mean_squared_error,train_r_squared,test_r_squared,train_adjusted_r_squared,test_adjusted_r_squared,train_mean_log_loss,test_mean_log_loss,train_mean_roc_auc_score,test_mean_roc_auc_score
0.2404382433547476,0.239905383357703,0.1075466139037571,0.10810900205154603,0.3279430040475892,0.32879933401931644,0.8924212322633643,0.8954040528833523,114.22665304280903,13.224651319258195,,,,
0.24056894924549163,0.23536738319594014,0.10786108994986278,0.10333422523064188,0.3284221215902832,0.3214564126450768,0.8921219761882183,0.9024687251410578,114.54162006190023,12.398967749138869,,,,
0.23870409809966556,0.24419779886175216,0.10605121832868493,0.10705262951658849,0.32565506034558245,0.3271889813495994,0.8939617771476244,0.8956209662861396,112.60522955212535,13.199299565307431,,,,
0.23997844640504012,0.23469353697788461,0.10716471161053297,0.1022703021845168,0.3273602169026239,0.3197972829536186,0.8928451500307499,0.8973863921878937,113.7804795926357,12.99296541303992,,,,
0.23966320820388315,0.24091696152852562,0.10744323124935011,0.10649241134977608,0.32778534324974035,0.3263317504469586,0.8925522695560157,0.8934179540502837,114.08873629229343,13.456776620373095,,,,
0.23698991552175158,0.23892537046823717,0.10512930031709554,0.10048100600518386,0.32423648825679,0.31698739092459793,0.8948760661409149,0.8789257752360402,111.64294038668712,15.1505500192878,,,,
0.24019476807727586,0.2511815323028632,0.10590284248350934,0.13459434953980282,0.32542716924606857,0.3668710257567403,0.8940773745097437,0.8846208105405776,112.48356332849478,14.48494276806999,,,,
0.23815855111481082,0.24342516510549306,0.10549588297788158,0.1106320558022889,0.32480129768503324,0.33261397415365596,0.8944950017006676,0.8827532983298962,112.05719883483472,14.688552419984614,,,,
0.2404108947840228,0.23251187549390373,0.1079389810077954,0.09592549463214274,0.3285406839461369,0.3097184118391135,0.892083279434941,0.9025725979569946,114.5958379847952,12.374649188520877,,,,
0.2393042661436944,0.2363427745773305,0.10655181757926542,0.10215811676946823,0.3264227589786984,0.31962183399991345,0.893407184386396,0.8945237136206515,113.20226253526992,13.314356434788934,,,,
