train_mean_absolute_error,test_mean_absolute_error,train_mean_squared_error,test_mean_squared_error,train_root_mean_squared_error,test_root_mean_squared_error,train_r_squared,test_r_squared,train_adjusted_r_squared,test_adjusted_r_squared,train_mean_log_loss,test_mean_log_loss,train_mean_roc_auc_score,test_mean_roc_auc_score
2.7668463035028183e-05,0.043666631448911225,1.2811521286561056e-09,0.01218487744649098,3.5793185505848815e-05,0.11038513236161372,0.9999999987127515,0.9877222170424375,1.0000001424885103,1.2253445395134173,17.3050981052344,17.07962741592216,1.0,0.9971884142298186
1.0056377987770534e-05,0.04012544914237856,2.3376304145300026e-10,0.008015275916664422,1.528931134659113e-05,0.08952807334386473,0.9999999997654364,0.9920218749970585,1.000000025964385,1.1464292789001413,17.3050981052344,17.493861317073858,1.0,0.9964022566437803
1.084157142857894e-05,0.04332132406113904,2.591241166013527e-10,0.010822007786771124,1.6097332592741964e-05,0.10402887958048536,0.9999999997403354,0.9893734611271517,1.0000000287428763,1.1950378596201225,17.3050981052344,17.468405602477944,1.0,0.9978427549447827
9.250693996665658e-06,0.039802215338358454,2.094843441195567e-10,0.01092333642832472,1.4473573992610004e-05,0.1045147665563327,0.999999999789891,0.9891978215280832,1.0000000232574546,1.1982615217999495,17.290890937623377,16.89333786819752,1.0,0.9977984192819481
1.0662787689329067e-05,0.04431904360352055,3.026552449077325e-10,0.01267598186370809,1.7396989535771195e-05,0.1125876630173488,0.9999999996970894,0.9868804146455211,1.0000000335345318,1.2405930114236743,17.20767239025254,17.395036386519813,1.0,0.9940223533086031
1.2090865638457365e-05,0.0415509026047611,5.810303160274398e-10,0.011774574133671155,2.4104570438558736e-05,0.10851070976484835,0.999999999416828,0.9884631741622624,1.0000000645616214,1.2115676369012809,17.177342382358162,17.57800794294549,1.0,0.9974108821121803
1.0428038905107233e-05,0.04189763331181895,2.6691627121577277e-10,0.013407487880755525,1.6337572378287195e-05,0.11579070722970615,0.9999999997321999,0.9867360166751763,1.0000000296475329,1.2432410480490748,17.235698853243548,17.22596140399988,1.0,0.9969725525750873
1.0251394330978422e-05,0.041996647860854996,2.8521806371900927e-10,0.012648835990212654,1.6888400271162727e-05,0.112467044018293,0.9999999997141326,0.9872312359827767,1.0000000316477247,1.2341594878235405,17.3003900726132,16.835699286813462,1.0,0.997694431675827
1.0240848964855237e-05,0.046128800050293385,3.111013746979458e-10,0.014804627174388747,1.763806607023417e-05,0.12167426668934046,0.9999999996881435,0.9851250955847441,1.000000034524918,1.272782862507461,17.275051078676128,16.988561599776688,1.0,0.9972974961222237
8.71639530359725e-06,0.04694649392623638,2.4679546090182385e-10,0.013039968164360559,1.5709725042209486e-05,0.11419267999465009,0.9999999997527519,0.9867179710792942,1.0000000273722678,1.2435719765150979,17.151235540119966,17.735502447210635,1.0,0.9964945363349089
